stop_id,day,time
128S,34 St - Penn Station,WKD,67734
128N,34 St - Penn Station,WKD,70260
128S,34 St - Penn Station,WKD,68034
128N,34 St - Penn Station,WKD,70560
128S,34 St - Penn Station,WKD,68334
128N,34 St - Penn Station,WKD,70860
128S,34 St - Penn Station,WKD,68634
128N,34 St - Penn Station,WKD,71160
128S,34 St - Penn Station,WKD,68934
128N,34 St - Penn Station,WKD,71460
128S,34 St - Penn Station,WKD,69234
128N,34 St - Penn Station,WKD,71760
128S,34 St - Penn Station,WKD,69534
128N,34 St - Penn Station,WKD,72060
128S,34 St - Penn Station,WKD,69834
128N,34 St - Penn Station,WKD,72360
128S,34 St - Penn Station,WKD,70134
128N,34 St - Penn Station,WKD,72660
128S,34 St - Penn Station,WKD,70434
128N,34 St - Penn Station,WKD,72960
128S,34 St - Penn Station,WKD,70734
128N,34 St - Penn Station,WKD,73260
128S,34 St - Penn Station,WKD,71034
128N,34 St - Penn Station,WKD,73560
128S,34 St - Penn Station,WKD,71304
128N,34 St - Penn Station,WKD,73860
128S,34 St - Penn Station,WKD,71604
128N,34 St - Penn Station,WKD,74160
128S,34 St - Penn Station,WKD,71904
128N,34 St - Penn Station,WKD,74460
128S,34 St - Penn Station,WKD,72204
128N,34 St - Penn Station,WKD,74760
128S,34 St - Penn Station,WKD,72504
128N,34 St - Penn Station,WKD,75060
128S,34 St - Penn Station,WKD,72804
128N,34 St - Penn Station,WKD,75360
128S,34 St - Penn Station,WKD,73104
128N,34 St - Penn Station,WKD,75660
128S,34 St - Penn Station,WKD,73464
128N,34 St - Penn Station,WKD,75966
128S,34 St - Penn Station,WKD,73824
128N,34 St - Penn Station,WKD,76326
128S,34 St - Penn Station,WKD,74184
128N,34 St - Penn Station,WKD,76686
128S,34 St - Penn Station,WKD,74544
128N,34 St - Penn Station,WKD,77046
128S,34 St - Penn Station,WKD,74904
128N,34 St - Penn Station,WKD,77406
128S,34 St - Penn Station,WKD,75264
128N,34 St - Penn Station,WKD,77766
128S,34 St - Penn Station,WKD,75624
128N,34 St - Penn Station,WKD,78126
128S,34 St - Penn Station,WKD,75984
128N,34 St - Penn Station,WKD,78486
128S,34 St - Penn Station,WKD,76344
128N,34 St - Penn Station,WKD,78846
128S,34 St - Penn Station,WKD,76704
128N,34 St - Penn Station,WKD,79206
128S,34 St - Penn Station,WKD,77064
128N,34 St - Penn Station,WKD,79566
128S,34 St - Penn Station,WKD,77424
128N,34 St - Penn Station,WKD,79926
128S,34 St - Penn Station,WKD,77784
128N,34 St - Penn Station,WKD,80286
128S,34 St - Penn Station,WKD,78144
128N,34 St - Penn Station,WKD,80646
128S,34 St - Penn Station,WKD,78504
128N,34 St - Penn Station,WKD,81006
128S,34 St - Penn Station,WKD,78864
